classifier,dataset,optimizer,best,avg,std_dev,acc,n_features,selected_rate,execution_time
svc,dermatology,gwo,0.068,0.174,0.107,0.827,6.8,0.2,49.913
knn,dermatology,abco,0.005,0.15,0.105,0.853,16.6,0.488,33.235
svc,dermatology,abco,0.004,0.057,0.049,0.947,15.2,0.447,101.143
knn,wdbc,fa,0.007,0.066,0.044,0.939,18.6,0.62,1.225
svc,wdbc,fa,0.004,0.057,0.05,0.948,15.2,0.507,2.887
knn,wdbc,de,0.003,0.039,0.032,0.965,13.8,0.46,6.22
svc,wdbc,de,0.047,0.108,0.044,0.896,13.4,0.447,10.973
knn,wdbc,goa,0.046,0.081,0.05,0.922,9.2,0.307,7.13
svc,wdbc,goa,0.004,0.081,0.05,0.922,9.4,0.313,12.174
knn,wdbc,pso,0.002,0.062,0.044,0.939,4.2,0.14,5.952
svc,wdbc,pso,0.001,0.079,0.05,0.922,3.2,0.107,11.672
knn,wdbc,da,0.052,0.094,0.027,0.913,24.0,0.8,6.511
svc,wdbc,da,0.046,0.119,0.097,0.887,21.8,0.727,11.975
knn,wdbc,woa,0.003,0.03,0.034,0.974,12.8,0.427,7.512
svc,wdbc,woa,0.004,0.133,0.112,0.87,12.6,0.42,12.373
knn,wdbc,cs,0.007,0.075,0.051,0.93,17.2,0.573,8.819
svc,wdbc,cs,0.047,0.048,0.001,0.957,16.0,0.533,16.147
knn,wdbc,aco,0.001,0.122,0.069,0.878,3.0,0.1,6.952
svc,wdbc,aco,0.001,0.104,0.093,0.896,2.2,0.073,19.577
knn,wdbc,ga,0.002,0.071,0.052,0.93,5.6,0.187,9.938
svc,wdbc,ga,0.003,0.113,0.093,0.887,4.6,0.153,23.84
knn,wdbc,ba,0.005,0.049,0.047,0.957,19.0,0.633,10.897
svc,wdbc,ba,0.047,0.126,0.058,0.878,15.8,0.527,22.719
knn,wdbc,gwo,0.001,0.044,0.038,0.957,2.4,0.08,23.15
svc,wdbc,gwo,0.086,0.113,0.052,0.887,2.2,0.073,44.94
knn,wdbc,abco,0.003,0.03,0.021,0.974,11.2,0.373,36.472
svc,wdbc,abco,0.002,0.055,0.064,0.948,11.0,0.367,72.748
knn,yeast,fa,0.373,0.476,0.064,0.527,6.0,0.75,3.876
svc,yeast,fa,0.406,0.474,0.054,0.53,7.2,0.9,11.266
knn,yeast,de,0.436,0.463,0.03,0.54,6.2,0.775,27.018
svc,yeast,de,0.339,0.457,0.07,0.547,6.8,0.85,93.511
knn,yeast,aco,0.45,0.543,0.054,0.457,4.4,0.55,26.678
svc,yeast,aco,0.353,0.48,0.082,0.52,4.2,0.525,94.718
knn,yeast,pso,0.488,0.541,0.046,0.463,7.4,0.925,26.748
svc,yeast,pso,0.405,0.498,0.08,0.507,7.6,0.95,94.832
knn,yeast,da,0.439,0.513,0.062,0.49,6.2,0.775,26.266
svc,yeast,da,0.42,0.501,0.088,0.503,7.2,0.9,100.001
knn,yeast,goa,0.436,0.507,0.074,0.497,7.0,0.875,26.342
svc,yeast,goa,0.389,0.477,0.069,0.527,7.0,0.875,102.006
knn,yeast,woa,0.485,0.528,0.055,0.473,5.0,0.625,27.213
svc,yeast,woa,0.421,0.477,0.039,0.527,6.4,0.8,105.285
knn,yeast,cs,0.405,0.524,0.09,0.48,7.2,0.9,36.914
svc,yeast,cs,0.406,0.459,0.038,0.547,7.8,0.975,135.544
knn,yeast,ga,0.37,0.459,0.071,0.543,5.6,0.7,48.621
svc,yeast,ga,0.422,0.51,0.061,0.493,7.0,0.875,164.281
knn,yeast,ba,0.34,0.482,0.073,0.523,8.0,1.0,51.924
svc,yeast,ba,0.356,0.498,0.079,0.507,7.4,0.925,193.713
knn,yeast,gwo,0.42,0.533,0.061,0.47,6.8,0.85,104.753
svc,yeast,gwo,0.34,0.438,0.063,0.567,7.0,0.875,367.928
knn,yeast,abco,0.438,0.471,0.031,0.533,7.0,0.875,165.354
svc,yeast,abco,0.356,0.478,0.071,0.527,7.6,0.95,625.362
