classifier,dataset,optimizer,best,avg,std_dev,acc,n_features,selected_rate,execution_time
svc,yeast,fa,0.34,0.452,0.061,0.553,8.0,1.0,14.347
knn,yeast,goa,0.324,0.445,0.083,0.56,7.8,0.975,27.231
svc,yeast,goa,0.373,0.485,0.095,0.52,7.8,0.975,88.961
knn,yeast,de,0.372,0.491,0.078,0.513,7.4,0.925,27.017
svc,yeast,de,0.405,0.472,0.044,0.533,7.6,0.95,89.102
knn,yeast,pso,0.471,0.517,0.024,0.487,7.2,0.9,27.04
svc,yeast,pso,0.438,0.514,0.062,0.49,7.6,0.95,92.343
knn,yeast,da,0.373,0.452,0.07,0.553,7.8,0.975,27.456
svc,yeast,da,0.472,0.505,0.023,0.5,8.0,1.0,94.555
knn,yeast,woa,0.388,0.471,0.059,0.533,7.2,0.9,27.277
svc,yeast,woa,0.387,0.507,0.102,0.497,6.8,0.85,100.581
knn,yeast,cs,0.422,0.475,0.026,0.53,7.8,0.975,38.549
svc,yeast,cs,0.438,0.508,0.049,0.497,7.6,0.95,127.273
knn,yeast,ba,0.388,0.462,0.084,0.543,7.6,0.95,52.533
svc,yeast,ba,0.373,0.458,0.043,0.547,7.6,0.95,183.126
knn,yeast,gwo,0.438,0.504,0.042,0.5,6.8,0.85,105.31
svc,yeast,gwo,0.438,0.501,0.057,0.503,7.2,0.9,360.939
knn,yeast,abco,0.421,0.517,0.059,0.487,7.2,0.9,160.879
svc,yeast,abco,0.422,0.485,0.041,0.52,7.8,0.975,627.054
